CMS Certification Number (CCN),Provider Name,Address Line 1,Address Line 2,City/Town,State,ZIP Code,County/Parish,Telephone Number,CMS Region,Ownership Type,Certification Date
063033,"NORTHERN COLORADO REHABILITATION HOSPITAL, INC",4401 UNION ST,-,JOHNSTOWN,CO,80534,Larimer,(970) 619-3400,8,Non-profit,08/24/2005
063034,ENCOMPASS HEALTH REHAB HOSPITAL OF LITTLETON,1001 W MINERAL AVE,-,LITTLETON,CO,80120,Arapahoe,(303) 334-1100,8,For profit,06/10/2013
063035,DENVER REGIONAL REHABILITATION HOSPITAL,8451 PEARL ST STE 101,-,THORNTON,CO,80229,Adams,(303) 301-8700,8,For profit,08/10/2018
063036,REUNION REHABILITATION HOSPITAL DENVER,4650 CENTRAL PARK BLVD,-,DENVER,CO,80238,Denver,(720) 734-3500,8,For profit,04/22/2021
063037,PAM HEALTH REHABILITATION HOSPITAL OF WESTMINSTER,6500 W 104TH AVE,-,WESTMINSTER,CO,80020,Jefferson,(720) 653-3440,8,For profit,10/08/2021
063038,REUNION REHABILITATION HOSPITAL INVERNESS,372 INVERNESS DR S,-,ENGLEWOOD,CO,80112,Douglas,(720) 741-8800,8,For profit,03/04/2022
063039,PAM HEALTH REHABILITATION HOSPITAL OF GREELEY,6810 10TH ST,-,GREELEY,CO,80634,Weld,(970) 425-6770,8,Non-profit,03/20/2024
06T006,MONTROSE MEMORIAL HOSPITAL,800 S 3RD ST,-,MONTROSE,CO,81401,Montrose,(970) 249-2211,8,Non-profit,01/01/2018
06T010,POUDRE VALLEY HOSPITAL,1024 S LEMAY AVE,-,FORT COLLINS,CO,80524,Larimer,(970) 237-7453,8,Non-profit,07/01/2018
06T015,COMMONSPIRIT ST. ANTHONY HOSPITAL,11600 W 2ND PLACE,-,LAKEWOOD,CO,80228,Denver,(720) 321-7321,8,Non-profit,07/01/2000
06T020,PARKVIEW MEDICAL CENTER,400 W. 16TH ST.,-,PUEBLO,CO,81003,Pueblo,(719) 595-7020,8,Non-profit,07/01/1994
06T022,UNIVERSITY OF COLORADO HEALTH - MEMORIAL HEALTH,MEMORIAL HOSPITAL CENTRAL,1400 E. BOULDER,COLORADO SPRINGS,CO,80909,El Paso,(719) 365-2702,8,Government,07/01/2020
06T023,ST. MARYS HOSPITAL AND MEDICAL CENTER INC,2635 7TH ST,BOX 1628,GRAND JUNCTION,CO,81501,Mesa,(970) 298-7646,8,Non-profit,06/01/1996
06T024,UNIVERSITY OF COLORADO HOSP,12401 E 17TH AVE CMS F-728,-,AURORA,CO,80045,Denver,(720) 848-3800,8,Government,07/01/2018
06T031,CAPRON NEURO AND TRAUMA REHABILITATION CENTER,6001 E WOODMEN R,6TH FLOOR,COLORADO SPRINGS,CO,80923,El Paso,(719) 571-6630,8,Non-profit,07/01/2017
06T034,SWEDISH GENERAL REHABILITATION,501 E. HAMPDEN AVE.,-,ENGLEWOOD,CO,80113,Arapahoe,(303) 788-6754,8,For profit,01/01/2019
06T064,PORTER ADVENTIST HOSPITAL,2525 S. DOWNING ST.,-,DENVER,CO,80210,Denver,(303) 765-6194,8,Non-profit,01/01/1996
06T112,SKY RIDGE MEDICAL CENTER,10101 RIDGEGATE PKWY,-,LONE TREE,CO,80124,Douglas,(720) 225-1000,8,Non-profit,07/01/2023
06T129,BROOMFIELD HOSPITAL,11820 DESTINATION DRIVE,-,BROOMFIELD,CO,80021,Jefferson,(303) 460-6000,8,For profit,07/01/2019
06TA09,KINDRED HOSPITAL-DENVER,1920 N HIGH ST,-,DENVER,CO,80218,Denver,(303) 320-5871,8,For profit,09/01/2021
073025,MOUNT SINAI REHABILITATION HOSPITAL INC,490 BLUE HILLS AVENUE,-,HARTFORD,CT,06112,Hartford,(860) 714-3500,1,Non-profit,06/15/1995
073027,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DANBU,50 RESERVE RD,-,DANBURY,CT,06810,Fairfield,(203) 207-6400,1,For profit,10/24/2025
07T006,THE STAMFORD HOSPITAL,ONE HOSPITAL PLAZA,-,STAMFORD,CT,06902,Fairfield,(203) 276-4135,1,Non-profit,10/01/2001
07T007,LAWRENCE MEMORIAL HOSPITAL,365 MONTAUK AVE,-,NEW LONDON,CT,06320,New London,(860) 442-0711,1,Non-profit,10/01/1983
07T022,YALE NEW HAVEN HOSPITAL,300 SEASIDE AVENUE,-,MILFORD,CT,06460,New Haven,(203) 867-8307,1,Non-profit,09/12/2012
07T025,HARTFORD HOSPITAL INPATIENT REHAB FACILITY,80 SEYMOUR STREET; CONKLIN CB6,-,HARTFORD,CT,06102,Hartford,-,1,Non-profit,10/01/2018
07T028,ST VINCENT'S MEDICAL CENTER,2800 MAIN STREET,10 EAST,BRIDGEPORT,CT,06606,Fairfield,(475) 210-5364,1,Non-profit,10/01/1999
07T033,DANBURY HOSPITAL,24 HOSPITAL AVENUE,-,DANBURY,CT,06810,Fairfield,(203) 739-6993,1,Non-profit,10/01/1983
083026,ENCOMPASS HEALTH REHAB HOSPITAL OF MIDDLETOWN,250 EAST HAMPDEN ROAD,-,MIDDLETOWN,DE,19709,New Castle,(302) 464-3400,3,For profit,01/13/2015
083027,PAM REHABILITATION HOSPITAL OF DOVER,1240 MCKEE ROAD,-,DOVER,DE,19904,Kent,(302) 672-5800,3,For profit,03/21/2019
083028,PAM HEALTH REHABILITATION HOSPITAL OF GEORGETOWN L,22303 DUPONT BLVD,-,GEORGETOWN,DE,19947,Sussex,(302) 440-4866,3,For profit,01/27/2023
08T001,CENTER FOR REHABILITATION AT WILMINGTON HOSPITAL,501 WEST 14TH STREET,-,WILMINGTON,DE,19899,New Castle,(302) 320-6999,3,Non-profit,07/01/1994
093025,MEDSTAR NATIONAL REHABILITATION HOSPITAL,102 IRVING STREET NW,-,WASHINGTON,DC,20010,District Of Columbia,(202) 877-1000,3,Non-profit,02/25/1986
09T001,THE GEORGE WASHINGTON UNIV HOSP,900 23RD ST NW,-,WASHINGTON,DC,20037,District Of Columbia,(202) 715-4843,3,For profit,07/01/1984
103026,ST CATHERINE'S REHABILITATION HOSPITAL,1050 NE 125TH ST,-,NORTH MIAMI,FL,33161,MIAMI-DADE,(305) 891-8850,4,Non-profit,02/07/1984
103027,ST ANTHONY'S REHABILITATION HOSPITAL,3487 NW 30TH ST,-,LAUDERDALE LAKES,FL,33311,Broward,(954) 739-6233,4,Non-profit,11/02/1984
103028,ENCOMPASS HEALTH REHAB HOSPITAL OF SUNRISE,4399 NOB HILL RD,-,SUNRISE,FL,33351,Broward,(954) 749-0300,4,For profit,04/02/1985
103031,ENCOMPASS HEALTH REHAB HOSPITAL OF SARASOTA,6400 EDGELAKE DR,-,SARASOTA,FL,34240,Sarasota,(941) 921-8600,4,For profit,09/17/1986
103032,ENCOMPASS HEALTH REHAB HOSPITAL OF TREASURE COAST,1600 37TH ST,-,VERO BEACH,FL,32960,Indian River,(772) 778-2100,4,For profit,08/14/1986
103033,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF TALLAH,1675 RIGGINS RD,-,TALLAHASSEE,FL,32308,Leon,(850) 656-4800,4,For profit,09/15/1986
103034,SEA PINES REHAB HOSP AFFILIATE OF ENCOMPASS HEALTH,101 E FLORIDA AVENUE,-,MELBOURNE,FL,32901,Brevard,(321) 984-4600,4,For profit,12/03/1986
103036,WEST GABLES REHABILITATION HOSPITAL,2525 SW 75TH AVE,-,MIAMI,FL,33155,Miami-Dade,(305) 262-6800,4,Non-profit,10/06/1988
103037,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF LARGO,901 CLEARWATER LARGO RD N,-,LARGO,FL,33770,Pinellas,(727) 586-2999,4,For profit,01/23/1989
103038,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF MIAMI,20601 OLD CUTLER RD,-,MIAMI,FL,33189,Miami-Dade,(305) 251-3800,4,For profit,11/09/1994
103039,BROOKS REHABILITATION HOSPITAL UNIVERSITY CAMPUS,3599 UNIVERSITY BLVD S,-,JACKSONVILLE,FL,32216,Duval,(904) 858-7625,4,Non-profit,01/03/1995
103040,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA,1847 FLORIDA AVE,-,PANAMA CITY,FL,32405,Bay,(850) 914-8600,4,For profit,04/28/1997
103042,ENCOMPASS HEALTH REHAB HOSPITAL OF SPRING HILL,12440 CORTEZ BLVD,-,BROOKSVILLE,FL,34613,Hernando,(352) 835-4600,4,For profit,04/21/2003
103043,ENCOMPASS HEALTH REHAB HOSPITAL OF CENTRAL FLORIDA,2275 SW 22ND LANE,-,OCALA,FL,34471,Marion,(352) 282-4000,4,For profit,12/19/2012
103044,ENCOMPASS HEALTH REHAB HOSPITAL AN AFFILIATE OF MA,5850 SE COMMUNITY DR,-,STUART,FL,34997,Martin,(772) 324-3500,4,For profit,06/24/2013
103045,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF ALTAMO,831 S STATE RD 434,-,ALTAMONTE SPRINGS,FL,32714,Seminole,(407) 587-8600,4,For profit,11/22/2014
103046,UF HEALTH REHABILITATION HOSPITAL,2708 SW ARCHER ROAD,-,GAINESVILLE,FL,32608,Alachua,(352) 554-2000,4,For profit,04/25/2019
103047,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF NORTH,3840 ATMORE GROVE DR,-,LUTZ,FL,33548,Hillsborough,(813) 607-3600,4,For profit,04/28/2021
103048,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PENSAC,1101 OFFICE WOODS DR,-,PENSACOLA,FL,32504,Escambia,(850) 805-2000,4,For profit,09/23/2021
103049,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF ST AUG,65 SILVER LANE,-,SAINT AUGUSTINE,FL,32084,St. Johns,(904) 640-2000,4,For profit,03/25/2022
103050,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF LAKELA,1201 OAKRIDGE PWY,-,LAKELAND,FL,33803,Polk,(833) 635-2410,4,For profit,05/26/2022
103051,TAMPA GENERAL REHABILITATION HOSPITAL,1307 W KENNEDY BLVD,-,TAMPA,FL,33606,Hillsborough,(813) 844-7794,4,For profit,06/17/2022
103052,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF JACKSO,11595 BURNT MILL RD,-,JACKSONVILLE,FL,32256,Duval,(904) 596-5000,4,For profit,07/14/2022
103053,REHABILITATION HOSPITAL OF CAPE CORAL,1730 NE PINE ISLAND RD,-,CAPE CORAL,FL,33909,Lee,(239) 599-3600,4,For profit,06/28/2022
103054,REHABILITATION HOSPITAL OF NAPLES,14305 COLLIER BLVD,-,NAPLES,FL,34119,Collier,(239) 383-6000,4,For profit,10/31/2022
103055,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF CLERMO,2901 SR 50,-,CLERMONT,FL,34711,Lake,(205) 413-9699,4,For profit,05/08/2023
103056,PAM HEALTH REHABILITATION HOSPITAL OF TAVARES,1730 MAYO DR,-,TAVARES,FL,32778,Lake,(561) 532-3111,4,For profit,03/10/2023
103057,PAM HEALTH REHABILITATION HOSPITAL OF JUPITER,5075 INNOVATION WAY,-,JUPITER,FL,33458,Palm Beach,(561) 935-3002,4,For profit,06/20/2023
103061,CLEARSKY REHABILITATION HOSPITAL OF LECANTO,3967 W NORVELL BRYANT HWY,-,LECANTO,FL,34461,Citrus,(352) 835-0819,4,For profit,11/14/2023
103062,PAM HEALTH REHABILITATION HOSPITAL OF VENICE,2639 CURRY LANE,-,NOKOMIS,FL,34275,Sarasota,(941) 244-5089,4,For profit,01/17/2024
103063,REUNION REHABILITATION HOSPITAL JACKSONVILLE,12645 SALINA DR,-,JACKSONVILLE,FL,32246,Duval,(214) 316-2777,4,For profit,12/12/2023
103064,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF KISSIM,4950 CALYPSO CAY WAY,-,KISSIMMEE,FL,34746,Osceola,(321) 286-3300,4,For profit,05/22/2024
103065,ORLANDO REHABILITATION HOSPITAL,980 GATEWAY DR,-,ALTAMONTE SPRINGS,FL,32701,Seminole,(321) 989-3104,4,For profit,08/03/2024
103066,NORTH FLORIDA REHABILITATION HOSPITAL,7775 VOLUNTEER WAY,-,JACKSONVILLE,FL,32221,Duval,(904) 578-1300,4,For profit,06/20/2024
103067,UF HEALTH REHABILITATION HOSPITAL - JACKSONVILLE,"15255 MAX LEGGETT PKWY, 2ND AND 3RD FLOORS",-,JACKSONVILLE,FL,32218,Duval,(904) 456-8001,4,For profit,10/29/2024
103068,FLORIDA REHABILITATION HOSPITAL AT TAMPA,6805 WOODSTORK RD,-,TEMPLE TERRACE,FL,33637,Hillsborough,(469) 640-6500,4,For profit,05/06/2025
103069,REHABILITATION HOSPITAL OF FORT MYERS,6150 MEDICAL PARK LOOP,-,FORT MYERS,FL,33912,Lee,(239) 722-3600,4,For profit,06/10/2025
103070,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DAYTON,1952 N WILLIAMSON BLVD,-,DAYTONA BEACH,FL,32117,Volusia,(386) 363-2000,4,For profit,07/28/2025
103071,CLEARSKY REHABILITATION HOSPITAL OF LAKE CITY,198 SW REAL TERRACE,-,LAKE CITY,FL,32056,Columbia,(205) 747-1776,4,For profit,11/03/2025
103072,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF LAKE W,9719 LANTANA ROAD,-,LAKE WORTH,FL,33467,Palm Beach,(205) 969-4504,4,For profit,12/26/2025
103073,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF ST PET,1000 TYRONE BLVD NORTH,-,SAINT PETERSBURG,FL,33710,Pinellas,(727) 231-7500,4,For profit,12/01/2025
103074,EXALT HEALTH REHABILITATION HOSPITAL WILDWOOD,4756 CR-44A,-,WILDWOOD,FL,34785,Sumter,(832) 603-2128,4,For profit,03/23/2026
10T002,BETHESDA MEMORIAL HOSPITAL,2815 SOUTH SEACREST BLVD,-,BOYNTON BEACH,FL,33435,Palm Beach,(561) 737-7733,4,Non-profit,10/01/2024
10T006,ORLANDO REGIONAL REHAB INSTITUTE,1414 KUHL AVE,-,ORLANDO,FL,32806,Orange,(321) 841-4165,4,Non-profit,10/01/2025
10T007,ADVENTHEALTH INPATIENT REHABILITATION,601 E ROLLINS ST,-,ORLANDO,FL,32803,Orange,(407) 303-7167,4,Non-profit,01/01/2024
10T017,HALIFAX HEALTH,350 N. CLYDE MORRIS BLVD,-,DAYTONA BEACH,FL,32114,Volusia,(386) 254-4000,4,Government,10/01/2025
10T022,JACKSON MEMORIAL HOSPITAL,1611 N.W. 12 AVENUE,-,MIAMI,FL,33136,Miami-Dade,(305) 585-7292,4,Government,10/01/2024
10T032,BAYFRONT HEALTH ST. PETERSBURG,701 6TH ST SOUTH,-,ST. PETERSBURG,FL,33701,Pinellas,(727) 893-6042,4,Non-profit,10/01/2025
10T034,MOUNT SINAI MEDICAL CENTER,INPATIENT REHAB DEPT.,4300 ALTON ROAD,MIAMI BEACH,FL,33140,Miami-Dade,(305) 674-2121,4,Non-profit,01/01/2021
10T038,MEMORIAL REHABILITATION INSTITUTE,3600 WASHINGTON STREET,-,HOLLYWOOD,FL,33021,Broward,(954) 518-2902,4,Government,05/01/2023
10T057,ADVENTHEALTH WATERMAN,1000 WATERMAN WAY,-,TAVARES,FL,32778,Lake,(352) 253-3300,4,Non-profit,01/01/2026
10T068,ADVENTHEALTH DAYTONA BEACH,301 MEMORIAL MEDICAL PKWY,-,DAYTONA BEACH,FL,32117,Volusia,(386) 547-3838,4,Non-profit,01/01/2026
10T073,HOLY CROSS HOSPITAL,4725 NORTH FEDERAL HIGHWAY,-,FORT LAUDERDALE,FL,33308,Broward,(954) 776-3075,4,Non-profit,07/01/2023
10T080,HCA FLORIDA JFK HOSPITAL,5301 S CONGRESS AVE,-,ATLANTIS,FL,33462,Palm Beach,(561) 965-7300,4,For profit,07/01/2023
10T086,BROWARD HEALTH NORTH-INPATIENT REHABILITATION UNIT,201 EAST SAMPLE ROAD,-,DEERFIELD BEACH,FL,33064,Broward,(954) 786-6445,4,Government,07/01/2024
10T087,SARASOTA MEMORIAL HOSPITAL,1700 SOUTH TAMIAMI TRAIL,-,SARASOTA,FL,34239,Sarasota,(941) 917-9000,4,Government,10/01/2025
10T110,OSCEOLA RGNL PHYSICAL REHAB,700 W OAK ST,-,KISSIMMEE,FL,34741,Osceola,(407) 518-5208,4,For profit,01/04/2025
10T125,HOMESTEAD HOSPITAL,975 BAPTIST WAY,-,HOMESTEAD,FL,33033,Miami-Dade,(786) 243-8000,4,Non-profit,10/01/2025
10T126,PALMS OF PASADENA HOSPITAL,1501 PASADENA AVE S,-,ST PETERSBURG,FL,33707,Pinellas,(727) 341-7638,4,For profit,10/01/2025
10T131,HCA FLORIDA AVENTURA HOSPITAL,20900 BISCAYNE BLVD,-,AVENTURA,FL,33180,Miami-Dade,(305) 682-7000,4,Non-profit,01/01/2023
10T157,LAKELAND REGIONAL HEALTH,1324 LAKELAND HILLS BLVD,-,LAKELAND,FL,33805,Polk,(863) 687-1100,4,Non-profit,10/01/2025
10T161,CENTRAL FLORIDA REGIONAL HOSPITAL,1401 W SEMINOLE BLVD,-,SANFORD,FL,32771,Seminole,(407) 562-0924,4,For profit,06/01/2025
10T167,PLANTATION GENERAL HOSPITAL,401 NW 42ND AVE,-,PLANTATION,FL,33317,Broward,(305) 854-4400,4,Non-profit,09/01/2021
10T173,FLORIDA HOSPITAL TAMPA,3100 EAST FLETCHER AVENUE,-,TAMPA,FL,33613,Hillsborough,(813) 615-7200,4,Non-profit,01/01/2025
10T212,HCA FLORIDA OCALA HOSPITAL,1431 SW 1ST AVE,-,OCALA,FL,34471,Marion,(352) 401-1000,4,For profit,09/01/2025
10T213,BLAKE MEDICAL CENTER,2020 59TH ST W,-,BRADENTON,FL,34209,Manatee,(941) 798-6192,4,For profit,05/01/2021
10T223,FORT WALTON BEACH MEDICAL CENTER,1000 MAR WALT DRIVE,-,FORT WALTON BEACH,FL,32547,Okaloosa,(850) 443-0878,4,For profit,06/01/2025
10T224,HCA FLORIDA WOODMONT HOSPITAL,7201 N UNIVERSITY DR,-,TAMARAC,FL,33321,Broward,(954) 721-2200,4,For profit,05/01/2025
10T226,HCA FL ORANGE PARK HOSPITAL REHABILITATION CENTER,1883 KINGSLEY AVE,-,ORANGE PARK,FL,32073,Clay,(904) 639-1800,4,Non-profit,01/01/2022
10T231,FLORIDA WEST REHABILITATION CENTER,8391 NORTH DAVIS HIGHWAY,-,PENSACOLA,FL,32514,Escambia,(850) 494-5131,4,For profit,06/01/2022
10T236,FAWCETT MEMORIAL HOSPITAL,21298 OLEAN BOULEVARD,-,PORT CHARLOTTE,FL,33949,Charlotte,(941) 624-8970,4,For profit,01/01/2026
10T242,HCA FLORIDA GULF COAST HOSPITAL,449 W 23RD ST,-,PANAMA CITY,FL,32405,Bay,(850) 769-8341,4,For profit,02/01/2023
10T243,HCA FLORIDA BRANDON HOSPITAL,119 OAKFIELD DR,-,BRANDON,FL,33511,Hillsborough,(813) 681-5551,4,For profit,12/21/2022
10T246,LAWNWOOD PHYSICAL REHAB CENTER,1860 N. LAWNWOOD CIR.,-,FORT PIERCE,FL,34950,St. Lucie,(772) 467-3903,4,For profit,10/01/2026
10T248,LARGO MEDICAL CENTER,2025 INDIAN ROCKS ROAD,-,LARGO,FL,33774,Pinellas,(727) 586-7146,4,For profit,03/01/2023
10T254,HCA FLORIDA CAPITAL HOSPITAL,2626 CAPITAL MEDICAL BLVD,-,TALLAHASSEE,FL,32308,Leon,(850) 656-5000,4,For profit,05/01/2025
10T256,HCA FLORIDA BAYONET POINT HOSPITAL,14000 FIVAY RD,-,HUDSON,FL,34667,Pasco,(727) 819-2929,4,For profit,03/01/2023
10T258,DELRAY MEDICAL CENTER,5352 LINTON BLVD,-,DELRAY BEACH,FL,33484,Palm Beach,(561) 498-4440,4,For profit,01/01/2024
10T286,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,6101 PINE RIDGE ROAD,-,NAPLES,FL,34119,Collier,(239) 304-5145,4,For profit,10/01/2026
10T288,ST MARY'S WEST PALM BEACH,ST. MARY'S MEDICAL CENTER,901 45TH STREET,WEST PALM BEACH,FL,33407,Miami-Dade,(561) 841-9409,4,For profit,06/01/2025
10T290,UF HEALTH SPANISH PLAINES REHAB HOSPITAL,1451 EL CAMINO REAL,-,THE VILLAGES,FL,32159,Sumter,(352) 751-8593,4,Non-profit,07/01/2025
10T307,ASCENSION ST VINCENT'S SOUTHSIDE,4201 BELFORT RD,-,JACKSONVILLE,FL,32216,Duval,(904) 296-3700,4,Non-profit,07/01/2025
10TA09,KINDRED HOSPITAL-BAY AREA-TAMPA,4555 S MANHATTAN AVE,-,TAMPA,FL,33611,Hillsborough,(813) 839-6341,4,For profit,09/01/2023
10TA10,KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE,1516 E LAS OLAS BLVD,-,FORT LAUDERDALE,FL,33301,Broward,(954) 764-8900,4,For profit,09/01/2026
10TA15,KINDRED HOSPITAL-NORTH FLORIDA,801 OAK ST,-,GREEN COVE SPRINGS,FL,32043,Clay,(904) 284-9230,4,For profit,09/01/2023
10TA20,SELECT SPECIALTY HOSPITAL - TALLAHASSEE,1554 SURGEONS DR,-,TALLAHASSEE,FL,32308,Leon,(850) 219-6800,4,For profit,03/01/2025
10TA24,SELECT SPECIALTY HOSPITAL PENSACOLA,7000 COBBLE CREEK DR,-,PENSACOLA,FL,32504,Escambia,(850) 479-5938,4,For profit,04/01/2023
10TA25,KINDRED HOSPITAL THE PALM BEACHES,5555 W BLUE HERON BLVD,-,RIVIERA BEACH,FL,33418,Palm Beach,(561) 840-0754,4,For profit,09/01/2026
10TA27,KINDRED HOSPITAL MELBOURNE,765 W NASA BLVD,-,MELBOURNE,FL,32901,Brevard,(321) 733-5725,4,For profit,09/01/2023
113028,WELLSTAR ROOSEVELT REHAB CARE AT WARM SPRINGS,"6135 ROOSEVELT HIGHWAY, P O BOX 280",-,WARM SPRINGS,GA,31830,Meriwether,(706) 655-5515,4,Government,07/01/2006
113029,ATRIUM HEALTH NAVICENT REHABILITATION HOSPITAL,3351 NORTHSIDE DRIVE,-,MACON,GA,31210,Bibb,(478) 471-6500,4,For profit,06/11/2007
113030,REHABILIATION HOSPITAL OF AUGUSTA,1355 INDEPENDENCE DRIVE,-,AUGUSTA,GA,30901,Richmond,(706) 724-7746,4,For profit,04/26/2013
113031,EMORY REHABILITATION HOSPITAL,1441 CLIFTON ROAD NE,-,ATLANTA,GA,30322,DeKalb,(404) 712-5512,4,For profit,07/29/2014
113032,REHABILITATION HOSPITAL OF NEWNAN,2101 EAST NEWNAN CROSSING BLVD,-,NEWNAN,GA,30265,Coweta,(678) 552-6200,4,For profit,12/22/2014
113033,ENCOMPASS HEALTH REHAB HOSPITAL OF SAVANNAH,6510 SEAWRIGHT DRIVE,-,SAVANNAH,GA,31404,Chatham,(912) 235-6000,4,For profit,04/23/2015
113034,ENCOMPASS HEALTH REHABILITATION HOSPITAL OFCUMMING,1165 SANDERS ROAD,-,CUMMING,GA,30041,Forsyth,(470) 533-4200,4,For profit,06/29/2021
113035,REHABILITATION HOSPITAL OF HENRY,2200 PATRICK HENRY PARKWAY,-,MCDONOUGH,GA,30253,Henry,(470) 713-2000,4,For profit,11/17/2021
113036,REHABILITATION HOSPITAL OF COLUMBUS,8321 VETERANS PARKWAY,-,COLUMBUS,GA,31909,Muscogee,(762) 332-3200,4,For profit,09/15/2023
113037,REHABILITATION HOSPITAL OF ATLANTA,"1968 PEACHTREE RD NW, BUILDING 2, 6TH FLOOR",-,ATLANTA,GA,30309,Fulton,(404) 937-4400,4,For profit,06/28/2024
113038,REHABILITATION HOSPITAL OF ATHENS,1083 PARKWAY BLVD,-,ATHENS,GA,30606,Clarke,(706) 208-6500,4,For profit,04/09/2025
113039,"NORTHEAST GEORGIA REHABILITATION INSTITUE, LLC",2500 LIMESTONE PARKWAY,-,GAINESVILLE,GA,30501,Hall,(470) 941-6500,4,For profit,07/02/2025
11T003,MEMORIAL SATILLA HOSPITAL,2500 SATILLA PARKWAY,-,WAYCROSS,GA,31503,Ware,(478) 297-0349,4,Non-profit,01/01/2017
11T006,REHAB MEDICINE ST. MARYS ATHENS,1230 BAXTER STREET,-,ATHENS,GA,30606,Clarke,(502) 596-6346,4,Non-profit,01/01/2004
11T007,PHOEBE PUTNEY MEMORIAL HOSPITAL,2000 PALMYRA RD,-,ALBANY,GA,31701,Dougherty,(229) 434-2264,4,Government,10/01/1999
11T010,EMORY UNIVERSITY HOSPITAL,1364 CLIFTON ROAD NE,-,ATLANTA,GA,30322,DeKalb,(404) 712-5512,4,Non-profit,09/01/1984
11T024,THE REHAB CENTER AT CANDLER,5353 REYNOLDS ST.,5 SOUTH - REHAB UNIT,SAVANNAH,GA,31405,Chatham,(615) 500-7913,4,Non-profit,07/01/1998
11T032,STEPHENS COUNTY HOSPITAL,163 HOSPITAL DRIVE,-,TOCCOA,GA,30577,Stephens,(706) 282-4250,4,Government,10/01/2021
11T035,WELLSTAR KENNESTONE INPATIENT REHAB,677 CHURCH STREET,-,MARIETTA,GA,30060,Cobb,(770) 793-6696,4,Government,07/01/1993
11T038,JOHN D. ARCHBOLD MEMORIAL HOSPITAL,GORDON AVE. @ MIMOSA DRIVE,P.O. BOX 1018,THOMASVILLE,GA,31792,Thomas,(229) 228-8063,4,Non-profit,10/01/1994
11T054,FLOYD MEDICAL CENTER,304 TURNER MCCALL BLVD,-,ROME,GA,30162,Floyd,(502) 596-6346,4,Government,02/05/2007
11T076,EMORY DECATUR HOSPITAL,2701 NORTH DECATUR ROAD,-,DECATUR,GA,30033,DeKalb,(404) 501-1000,4,Non-profit,07/01/1997
11T079,GRADY MEMORIAL HOSPITAL,"80 JESSE HILL, JR DRIVE SE",-,ATLANTA,GA,30303,Fulton,(404) 616-4252,4,Non-profit,05/15/2024
11T087,GLANCY REHABILITATION CENTER,3215 MCCLURE BRIDGE ROAD,-,DULUTH,GA,30096,Gwinnett,(678) 312-6000,4,Government,07/01/1995
11T122,SOUTH GEORGIA MEDICAL CENTER,2501 N PATTERSON ST,-,VALDOSTA,GA,31603,Lowndes,(229) 259-4291,4,Government,10/01/1991
11T125,FAIRVIEW PARK HOSPITAL,200 INDUSTRIAL BLVD,-,DUBLIN,GA,31040,Laurens,(478) 274-3264,4,For profit,05/01/1995
11T143,WELLSTAR COBB HOSPITAL,3950 AUSTELL ROAD,3950 AUSTELL RD,AUSTELL,GA,30106,Cobb,(470) 732-4032,4,Government,07/01/1997
11T164,PIEDMONT MACON REHABILITATION CENTER,350 HOSPITAL DRIVE,-,MACON,GA,31217,Bibb,(478) 765-7000,4,Non-profit,04/01/1994
11T165,SOUTHERN REGIONAL MEDICAL CTR,11 UPPER RIVERDALE RD,-,RIVERDALE,GA,30274,Clayton,(770) 991-8296,4,Non-profit,07/01/2005
11T168,REDMOND REGIONAL MEDICAL CENTER,501 REDMOND ROAD,-,ROME,GA,30165,Floyd,(706) 291-0291,4,For profit,07/01/2003
11T177,DOCTORS HOSPITAL,3651 WHEELER ROAD,-,AUGUSTA,GA,30909,Richmond,(706) 651-6129,4,For profit,09/01/1984
11T192,PIEDMONT EASTSIDE MEDICAL CENTER,2160 FOUNTAIN DRIVE,-,SNELLVILLE,GA,30078,Gwinnett,(770) 985-3885,4,For profit,09/01/2005
11T198,WELLSTAR N FULTON HOSPITAL,3000 HOSPITAL BLVD.,-,ROSWELL,GA,30076,Fulton,(770) 751-2653,4,For profit,11/01/1985
11T252,NORTHSIDE HOSPITAL DULUTH,3620 HOWELL FERRY ROAD,-,DULUTH,GA,30096,Gwinnett,(678) 312-1000,4,Non-profit,07/01/2021
123025,REHABILITATION HOSPITAL OF THE PACIFIC,226 N KUAKINI STREET,-,HONOLULU,HI,96817,Honolulu,(808) 531-3511,9,Non-profit,10/01/1984
