CMS Certification Number (CCN),Provider Name,Address Line 1,Address Line 2,City/Town,State,ZIP Code,County/Parish,Telephone Number,CMS Region,Ownership Type,Certification Date,Total Number of Beds
232024,SELECT SPECIALTY HOSPITAL-ANN ARBOR,"5301 E HURON RIVER DR, 7TH FL",-,YPSILANTI,MI,48197,Washtenaw,(734) 712-0500,5,For profit,05/01/1999,36
232029,SELECT SPECIALTY HOSPITAL - COREWELL HEALTH GR,"1840 WEALTHY STREET SE, 5TH FLOOR",-,GRAND RAPIDS,MI,49506,Kent,(616) 774-3800,5,Non-profit,01/01/2001,146
232031,"SELECT SPECIALTY HOSPITAL-WYANDOTTE, LLC","2333 BIDDLE AVENUE, 8TH FLOOR",-,WYANDOTTE,MI,48192,WAYNE,(313) 375-7075,5,For profit,09/28/2001,40
232033,SELECT SPECIALTY HOSPITAL-SAGINAW,"1447 NORTH HARRISON, 7TH & 8TH FLOOR",-,SAGINAW,MI,48602,Saginaw,(989) 583-4667,5,For profit,03/01/2003,32
232034,BEACON PLAINWELL,411 NAOMI STREET,-,PLAINWELL,MI,49080,Allegan,(269) 685-0700,5,Non-profit,07/01/2003,43
232035,SELECT SPECIALTY HOSPITAL- BATTLE CREEK,300 NORTH AVENUE 6TH FLOOR,-,BATTLE CREEK,MI,49016,Calhoun,(269) 245-4675,5,Non-profit,06/01/2003,25
232037,UNIVERSITY OF MICHIGAN HEALTH-SPARROW SPECIALTY HO,"1215 E MICHIGAN AVE, 8W SPARROW HOSPITAL TOWER",-,LANSING,MI,48912,Ingham,(517) 364-6800,5,Non-profit,01/01/2005,36
232039,PIONEER SPECIALTY HOSPITAL,50 NORTH PERRY,-,PONTIAC,MI,48342,Oakland,(248) 593-1990,5,For profit,10/20/2014,30
242004,M HEALTH FAIRVIEW BETHESDA HOSPITAL,45 10TH STREET WEST,-,SAINT PAUL,MN,55102,Ramsey,(651) 326-3762,5,Non-profit,01/20/1989,254
242005,REGENCY HOSPITAL OF MINNEAPOLIS LLC,1300 HIDDEN LAKES PARKWAY,-,GOLDEN VALLEY,MN,55422,Hennepin,(763) 302-0301,5,For profit,06/01/1995,92
252003,SELECT SPECIALTY HOSPITAL - BELHAVEN,"1225 NORTH STATE STREET, 5TH FLOOR",-,JACKSON,MS,39202,Hinds,(601) 968-1260,4,For profit,08/17/1993,25
252004,OCHSNER SPECIALTY HOSPITAL,1314 19TH AVENUE,-,MERIDIAN,MS,39301,LAUDERDALE,(601) 703-4211,4,Non-profit,05/01/1995,49
252005,"SELECT SPECIALTY HOSPITAL-GULF COAST, INC","4500 13TH STREET, 3RD FLOOR",-,GULFPORT,MS,39501,Harrison,(228) 575-7500,4,For profit,01/01/1999,70
252006,REGENCY HOSPITAL OF MERIDIAN,"1102 CONSTITUTION AVENUE, 2ND FLOOR",-,MERIDIAN,MS,39301,Lauderdale,(601) 484-7900,4,For profit,08/01/2003,40
252007,SELECT SPECIALTY HOSPITAL JACKSON,5903 RIDGEWOOD ROAD,-,JACKSON,MS,39211,Hinds,(601) 899-3800,4,Non-profit,03/01/2003,53
252013,ALLEGIANCE SPECIALTY HOSPITAL OF GREENVILLE,"300 SOUTH WASHINGTON AVE, 3RD FLOOR",-,GREENVILLE,MS,38701,Washington,(662) 332-7344,4,For profit,11/01/2011,39
252014,NORTH MISSISSIPPI SPECIALTY HOSPITAL,"303 MEDICAL CENTER DRIVE,SUITE B",-,BATESVILLE,MS,38606,Panola,(662) 703-4167,4,For profit,03/31/2022,31
262010,KINDRED HOSPITAL ST LOUIS SOUTH,"10018 KENNERLY RD, 3RD FLR HYLAND BLDG B",-,SAINT LOUIS,MO,63128,St. Louis,(314) 525-8100,7,For profit,08/30/1991,60
262013,SELECT SPECIALTY HOSPITAL-ST LOUIS,300 FIRST CAPITOL DRIVE,-,SAINT CHARLES,MO,63301,St. Charles,(314) 768-3400,7,For profit,11/01/2000,33
262016,"LANDMARK HOSPITAL OF JOPLIN, LLC",2040 W 32ND STREET,-,JOPLIN,MO,64804,Jasper,(417) 220-4364,7,For profit,12/01/2007,30
262017,"SELECT SPECIALTY HOSPITAL SPRINGFIELD, INC",1630 EAST PRIMROSE,-,SPRINGFIELD,MO,65804,Greene,(417) 881-1657,7,For profit,11/01/2008,44
262018,KINDRED HOSPITAL NORTHLAND,500 NW 68TH STREET,-,KANSAS CITY,MO,64118,Clay,(816) 420-6300,7,For profit,05/06/2008,35
262019,MOSIAC LIFE CARE AT ST JOSEPH,5325 FARAON STREET,-,SAINT JOSEPH,MO,64506,Buchanan,(816) 271-6480,7,Non-profit,10/02/2009,41
262020,"LANDMARK HOSPITAL OF COLUMBIA, LLC",604 OLD HIGHWAY 63 NORTH,-,COLUMBIA,MO,65201,Boone,(573) 355-5127,7,For profit,04/01/2010,42
272001,ADVANCED CARE HOSPITAL OF MONTANA,3528 GABEL RD,-,BILLINGS,MT,59102,Yellowstone,(406) 373-8000,8,For profit,09/01/2008,40
282000,MADONNA REHABILITATION SPECIALTY HOSPITAL LINCOLN,5401 SOUTH ST,-,LINCOLN,NE,68506,Lancaster,(402) 413-3000,7,Non-profit,07/01/1984,96
282001,SELECT SPECIALTY HOSPITAL - OMAHA (CENTRAL CAMPUS),1870 SOUTH 75TH STREET,-,OMAHA,NE,68124,Douglas,(402) 361-5830,7,For profit,07/01/2000,52
282003,MADONNA REHABILITATION SPECIALTY HOSPITAL OMAHA,17500 BURKE STREET,-,OMAHA,NE,68118,Douglas,(402) 413-3000,7,Non-profit,03/01/2015,108
292002,KINDRED HOSPITAL - LAS VEGAS (SAHARA CAMPUS),5110 W SAHARA AVE,-,LAS VEGAS,NV,89146,Clark,(702) 835-2926,9,For profit,09/01/1994,146
292003,HORIZON SPECIALTY HOSPITAL,640 S MARTIN LUTHER KING BLVD,-,LAS VEGAS,NV,89106,Clark,(702) 382-3155,9,For profit,06/01/1994,199
292004,PAM SPECIALTY HOSPITAL OF SPARKS LLC,2375 EAST PRATER WAY,-,SPARKS,NV,89434,Washoe,(775) 331-1044,9,For profit,09/01/1997,21
292006,"PAM SPECIALTY HOSPITAL OF LAS VEGAS, LLC",2500 NORTH TENAYA WAY,-,LAS VEGAS,NV,89128,Clark,(702) 562-2021,9,Non-profit,01/01/2002,70
292007,LAS VEGAS-AMG SPECIALTY HOSPITAL,4015 SOUTH MCLEOD,-,LAS VEGAS,NV,89121,Clark,(702) 433-2200,9,For profit,01/01/2004,24
292009,ELITE MEDICAL CENTER,150 E HARMON AVENUE,-,LAS VEGAS,NV,89109,Clark,(702) 497-3885,9,For profit,12/10/2020,22
312014,MATHENY MEDICAL AND EDUCATIONAL CENTER,65 HIGHLAND AVENUE,-,PEAPACK,NJ,07977,Somerset,(908) 234-0011,2,Non-profit,07/09/1976,102
312017,SPECIALTY HOSPITAL OF CENTRAL JERSEY,"600 RIVER AVENUE, 4 WEST",-,LAKEWOOD,NJ,08701,Ocean,(732) 806-3200,2,Non-profit,11/01/2004,50
312018,CARE ONE AT TRINITAS REGIONAL MEDICAL CENTER,225 WILLIAMSON ST 7 NORTH,-,ELIZABETH,NJ,07207,Union,(908) 994-5412,2,For profit,11/01/2004,75
312019,SELECT SPECIALTY HOSPITAL NORTHEAST,96 PARKWAY,-,ROCHELLE PARK,NJ,07662,Bergen,(201) 221-2352,2,Non-profit,11/01/2004,62
312020,KINDRED HOSPITAL NEW JERSEY - MORRIS COUNTY,400 WEST BLACKWELL STREET,-,DOVER,NJ,07801,Morris,(973) 537-3816,2,For profit,03/01/2005,45
312022,SELECT SPECIALTY HOSPITAL-WILLINGBORO,"218 A SUNSET ROAD, 3RD FLOOR",-,WILLINGBORO,NJ,08046,Burlington,(609) 835-5782,2,For profit,09/01/2006,69
312023,ACUITY SPECIALTY HOSPITAL OF NEW JERSEY,1925 PACIFIC AVENUE 5TH FLOOR,-,ATLANTIC CITY,NJ,08401,Atlantic,(609) 441-2122,2,For profit,06/01/2010,30
312024,SILVER LAKE HOSPITAL LTACH,495 NORTH 13TH STREET,-,NEWARK,NJ,07107,Essex,(973) 587-7712,2,Non-profit,09/14/2010,63
312025,HACKENSACK MERIDIAN LTACH,"530 NEW BRUNSWICK AVENUE, 4TH FLOOR/GREEN",-,PERTH AMBOY,NJ,08861,Middlesex,(732) 324-4714,2,Non-profit,01/01/2024,-
322002,KINDRED HOSPITAL ALBUQUERQUE,700 HIGH STREET NE,-,ALBUQUERQUE,NM,87102,Bernalillo,(505) 242-4444,6,For profit,07/01/1994,61
322003,"ALBUQUERQUE - AMG SPECIALTY HOSPITAL, LLC",5400 GIBSON BLVD SE 3RD FLOOR,-,ALBUQUERQUE,NM,87108,Bernalillo,(505) 842-5550,6,For profit,06/01/1995,32
322004,ADVANCED CARE HOSPITAL OF SOUTHERN NEW MEXICO LLC,4451 EAST LOHMAN AVENUE,-,LAS CRUCES,NM,88011,Dona Ana,(575) 521-6600,6,For profit,03/01/2009,20
332008,HENRY J CARTER SPECIALTY HOSPITAL,1752 PARK AVENUE,-,NEW YORK,NY,10035,New York,(212) 318-8000,2,Government,07/01/1970,411
342012,KINDRED HOSPITAL GREENSBORO,2401 SOUTHSIDE BLVD,-,GREENSBORO,NC,27406,Guilford,(336) 271-2800,4,For profit,02/01/1994,101
342013,PAM SPECIALTY HOSPITAL OF ROCKY MOUNT,1031 NOELL LANE,-,ROCKY MOUNT,NC,27804,Nash,(252) 451-2300,4,For profit,07/01/2000,50
342014,HIGHSMITH RAINEY MEMORIAL HOSPITAL,150 ROBESON STREET 4TH FLOOR,-,FAYETTEVILLE,NC,28301,Cumberland,(910) 609-6700,4,Non-profit,02/01/2003,112
342015,CAROLINAS CONTINUECARE HOSPITAL AT PINEVILLE,"10648 PARK RD, 3RD FL",-,CHARLOTTE,NC,28210,Mecklenburg,(704) 379-5117,4,Non-profit,08/01/2003,40
342018,SELECT SPECIALTY HOSPITAL DURHAM INC,3643 NORTH ROXBORO ROAD 6TH FLOOR,-,DURHAM,NC,27704,Durham,(919) 470-9010,4,For profit,02/01/2004,30
342020,SELECT SPECIALTY HOSPITAL-GREENSBORO,"1200 NORTH ELM STREET, 5TH FLOOR",-,GREENSBORO,NC,27401,Guilford,(336) 832-7000,4,For profit,05/01/2010,30
352004,VIBRA HOSPITAL OF FARGO,5225 23RD AVE S,-,FARGO,ND,58104,Cass,(701) 241-9099,8,For profit,10/02/1998,31
352005,VIBRA HOSPITAL OF CENTRAL DAKOTAS LLC,1000 18TH STREET NW,-,MANDAN,ND,58554,Morton,(701) 667-2000,8,Non-profit,09/01/1998,41
362015,GRACE HOSPITAL,44 BLAINE AVENUE,-,BEDFORD,OH,44146,Cuyahoga,(216) 456-3896,5,Non-profit,07/01/1995,104
362016,"SELECT SPECIALTY HOSPITAL-NORTHEAST OHIO, INC","2600 6TH STREET SW, FLOOR 4",-,CANTON,OH,44710,Stark,(330) 607-5306,5,For profit,03/01/1997,61
362019,"SELECT SPECIALTY HOSPITAL-CINCINNATI, INC","2139 AUBURN AVENUE, 3 WEST",-,CINCINNATI,OH,45219,Hamilton,(513) 572-8710,5,Non-profit,08/01/1998,36
362020,KINDRED HOSPITAL LIMA,730 W MARKET ST,-,LIMA,OH,45801,Allen,(419) 993-7910,5,For profit,02/01/1999,12
362022,"SELECT SPECIALTY HOSPITAL-COLUMBUS, INC","1087 DENNISON AVENUE, 2ND FLOOR",-,COLUMBUS,OH,43201,Franklin,(614) 202-0960,5,For profit,09/01/1999,186
362023,SELECT SPECIALTY HOSPITAL-BOARDMAN,8049 SOUTH AVENUE,-,BOARDMAN,OH,44512,Mahoning,(330) 726-5021,5,Non-profit,02/01/2000,45
362026,SELECT SPECIALTY HOSPITAL- CLEVELAND FAIRHILL,11900 FAIRHILL ROAD,-,CLEVELAND,OH,44120,Cuyahoga,(216) 983-8012,5,For profit,10/01/2000,119
362027,SELECT SPECIALTY HOSPITAL-AKRON,200 EAST MARKET STREET,-,AKRON,OH,44308,Summit,(330) 761-7550,5,For profit,12/01/2000,34
362028,PAM HEALTH SPECIALTY HOSPITAL OF MIAMISBURG,2310 CROSSPOINTE FL 1,-,MIAMISBURG,OH,45342,MONTGOMERY,(937) 617-0566,5,Non-profit,09/01/2001,44
362029,REGENCY HOSPITAL OF CLEVELAND EAST,4200 INTERCHANGE CORPORATE CENTER ROAD,-,WARRENSVILLE HTS,OH,44128,Cuyahoga,(216) 910-3829,5,For profit,12/01/2002,142
362031,SELECT SPECIALTY HOSPITAL SOUTHEAST OHIO,"200 TAMARACK ROAD, 2ND FLOOR",-,NEWARK,OH,43055,Licking,(740) 485-0867,5,For profit,04/01/2004,35
362033,KINDRED HOSPITALS-DAYTON,707 EAST EDWIN C MOSES BLVD,-,DAYTON,OH,45417,Montgomery,(937) 331-9265,5,Non-profit,03/01/2005,67
362036,REGENCY HOSPITAL OF TOLEDO,5220 WEST ALEXIS ROAD,-,SYLVANIA,OH,43560,Lucas,(419) 972-3200,5,For profit,01/01/2008,45
362037,SELECT SPECIALTY HOSPITAL COLUMBUS,1430 SOUTH HIGH STREET,-,COLUMBUS,OH,43207,Franklin,(614) 381-0041,5,For profit,07/01/2008,43
362038,ADVANCED SPECIALTY HOSPITAL OF TOLEDO,1015 GARDEN LAKE PARKWAY,-,TOLEDO,OH,43614,Lucas,(419) 381-0037,5,For profit,03/01/2009,40
372004,PAM HEALTH SPECIALTY HOSPITAL OF OKLAHOMA CITY,1407 NORTH ROBINSON AVENUE,-,OKLAHOMA CITY,OK,73103,Oklahoma,(405) 232-8000,6,For profit,10/01/1993,59
372005,OKC-AMG SPECIALTY HOSPITAL,"4300 W MEMORIAL RD, 2ND FL",-,OKLAHOMA CITY,OK,73120,Oklahoma,(405) 936-5822,6,For profit,06/01/1993,18
372007,"SELECT SPECIALTY HOSPITAL - TULSA/MIDTOWN, LLC","744 WEST 9TH STREET, 5 EAST A & 5 B",-,TULSA,OK,74127,Osage,(918) 579-7301,6,For profit,09/01/1994,56
372009,"SELECT SPECIALTY HOSPITAL - OKLAHOMA CITY, INC",3524 NORTHWEST 56TH STREET,-,OKLAHOMA CITY,OK,73112,Oklahoma,(405) 606-6901,6,For profit,02/01/1996,72
372012,INSPIRE SPECIALTY HOSPITAL,8210 NATIONAL AVENUE,-,MIDWEST CITY,OK,73110,Oklahoma,(405) 739-0800,6,For profit,05/31/1998,31
372018,PAM SPECIALTY HOSPITAL OF TULSA,3219 SOUTH 79TH EAST AVENUE,-,TULSA,OK,74145,Tulsa,(918) 663-8183,6,For profit,10/01/2004,60
372022,CORNERSTONE SPECIALTY HOSPITALS MUSKOGEE,351 SOUTH 40TH STREET,-,MUSKOGEE,OK,74401,Muskogee,(918) 682-6161,6,For profit,07/01/2007,64
372023,MUSCOGEE (CREEK) NATION LONG TERM ACUTE CARE HOSPI,1401 MORRIS DRIVE,-,OKMULGEE,OK,74447,Okmulgee,(918) 756-9211,6,Tribal,10/25/2012,16
382004,VIBRA SPECIALTY HOSPITAL OF PORTLAND,10300 NE HANCOCK STREET,-,PORTLAND,OR,97220,Multnomah,(503) 257-5500,10,For profit,02/01/2008,73
392025,PAM SPECIALTY HOSPITAL OF WILKES-BARRE,"575 NORTH RIVER STREET, 7TH FLOOR",-,WILKES-BARRE,PA,18764,Luzerne,(570) 208-3310,3,For profit,01/01/1994,36
392027,KINDRED HOSPITAL PHILADELPHIA,6129 PALMETTO STREET,-,LAWNCREST,PA,19111,Philadelphia,(215) 722-8555,3,For profit,10/01/1995,52
392028,PAM HEALTH SPECIALTY HOSPITAL OF PITTSBURGH,7777 STEUBENVILLE PIKE,-,OAKDALE,PA,15071,Allegheny,(412) 494-5500,3,For profit,07/01/1996,63
392031,SELECT SPECIALTY HOSPITAL - JOHNSTOWN,320 MAIN STREET,-,JOHNSTOWN,PA,15901,Cambria,(814) 534-7300,3,For profit,05/01/1999,39
392033,GOOD SHEPHERD SPECIALTY HOSPITAL,2545 SCHOENERSVILLE ROAD,-,BETHLEHEM,PA,18017,Lehigh,(484) 884-5051,3,Non-profit,07/01/2000,32
392036,SELECT SPECIALTY HOSPITAL LAUREL HIGHLANDS INC,ONE MELLON WAY,-,LATROBE,PA,15650,Westmoreland,(724) 539-3870,3,Non-profit,04/01/2001,40
392037,SELECT SPECIALTY HOSPITAL - ERIE,252 WEST 11TH STREET,-,ERIE,PA,16501,Erie,(814) 874-5300,3,For profit,06/01/2001,50
392039,SELECT SPECIALTY HOSPITAL - CENTRAL PA HARRISBURG,111 SOUTH FRONT STREET,-,HARRISBURG,PA,17101,Dauphin,(717) 972-4560,3,For profit,01/01/2002,92
392043,PAM HEALTH SPECIALITY HOSPITAL AT HERITAGE VALLEY,1000 DUTCH RIDGE ROAD,-,BEAVER,PA,15009,Beaver,(724) 773-8480,3,For profit,07/01/2003,35
392044,SELECT SPECIALTY HOSPITAL - PITTSBURGH/UPMC,"200 LOTHROP STREET, MUH E824",-,PITTSBURGH,PA,15213,Allegheny,(412) 586-9821,3,For profit,07/01/2004,67
392045,"SELECT SPECIALTY HOSPITAL - MCKEESPORT, INC",1500 FIFTH AVENUE,-,MC KEESPORT,PA,15132,Allegheny,(412) 664-2900,3,For profit,09/01/2004,30
392050,GOOD SHEPHERD PENN PARTNERS,1800 LOMBARD STREET,-,PHILADELPHIA,PA,19146,Philadelphia,(215) 893-2548,3,Non-profit,04/01/2009,38
412001,ELEANOR SLATER HOSPITAL,111 HOWARD AVE,-,CRANSTON,RI,02921,Providence,(401) 462-3085,1,Government,07/01/1966,250
422004,SPARTANBURG HOSP FOR RESTORATIVE CARE,389 SERPENTINE DR,-,SPARTANBURG,SC,29303,Spartanburg,(864) 560-3235,4,Government,10/01/1996,97
422005,CHARLESTON-AMG SPECIALITY HOSPITAL INC,1200 HOSPITAL DRIVE,-,MOUNT PLEASANT,SC,29464,Charleston,(843) 881-4047,4,For profit,07/01/1999,59
422006,PRISMA HEALTH LTACH-BAPTIST,1330 TAYLOR STREET SUITE FL 7,-,COLUMBIA,SC,29201,Richland,(803) 296-3757,4,Non-profit,08/01/1999,35
422007,REGENCY HOSPITAL OF FLORENCE,"121 EAST CEDAR ST, 4TH FL",-,FLORENCE,SC,29501,Florence,(843) 661-3481,4,For profit,02/01/2002,40
422008,PRISMA HEALTH NORTH GREENVILLE LTACH,807 NORTH MAIN STREET,-,TRAVELERS REST,SC,29690,Greenville,(864) 834-5132,4,Non-profit,03/01/2004,45
422009,REGENCY HOSPITAL OF GREENVILLE,"1 ST FRANCIS DRIVE, 4TH FLOOR",-,GREENVILLE,SC,29601,Greenville,(864) 255-1401,4,For profit,08/01/2005,32
432002,SELECT SPECIALTY HOSPITAL - SOUTH DAKOTA,1305 WEST 18TH STREET,-,SIOUX FALLS,SD,57105,Minnehaha,(605) 312-9520,8,For profit,03/01/1998,24
432003,REHAB & CRITICAL CARE HOSPITAL OF THE BLACK HILLS,2115 PROMISE ROAD,-,RAPID CITY,SD,57701,Pennington,(605) 646-6040,8,For profit,02/01/2025,-
442007,KINDRED HOSPITAL - CHATTANOOGA,709 WALNUT STREET,-,CHATTANOOGA,TN,37402,Hamilton,(423) 266-7721,4,For profit,10/01/1993,49
442010,SELECT SPECIALTY HOSPITAL- MEMPHIS EAST,6019 WALNUT GROVE ROAD 1 WEST,-,MEMPHIS,TN,38120,Shelby,(901) 226-4200,4,Non-profit,07/01/1995,30
442011,SELECT SPECIALTY HOSPITAL-NASHVILLE,2000 HAYES STREET,-,NASHVILLE,TN,37203,Davidson,(615) 284-4599,4,For profit,05/01/1996,70
442014,SELECT SPECIALTY HOSPITAL MEMPHIS,1265 UNION AVENUE 10TH FLOOR,-,MEMPHIS,TN,38104,Shelby,(901) 765-1245,4,For profit,12/01/1997,30
442015,SELECT SPECIALTY HOSPITAL-NORTH KNOXVILLE,7557 B DANNAHER DRIVE SUITE 145,-,POWELL,TN,37849,Knox,(865) 545-7370,4,For profit,01/01/1999,68
442016,SELECT SPECIALTY HOSPITAL-TRICITIES,"ONE MEDICAL PARK BOULEVARD, 5TH FLOOR",-,BRISTOL,TN,37620,Sullivan,(423) 844-5900,4,For profit,11/01/2000,33
442017,REGIONAL ONE HEALTH EXTENDED CARE HOSPITAL,"890 MADISON AVENUE, 4TH FLOOR",-,MEMPHIS,TN,38103,Shelby,(901) 513-3000,4,Non-profit,02/03/2014,30
442018,SELECT SPECIALTY HOSPITAL - WEST TENNESSEE,620 SKYLINE DRIVE 5TH & 6TH FLOORS,-,JACKSON,TN,38301,Madison,(731) 437-2500,4,For profit,02/01/2024,50
452016,KINDRED HOSPITAL SAN ANTONIO,3636 MEDICAL DRIVE,-,SAN ANTONIO,TX,78229,Bexar,(210) 616-0616,6,For profit,02/08/1989,59
452018,TEXAS HEALTH SPECIALTY HOSPITAL FORT WORTH,1300 PENNSYLVANIA 4TH FLOOR MAIN BLDG,-,FORT WORTH,TX,76104,Tarrant,(817) 878-5500,6,Non-profit,04/03/1990,15
452022,SELECT SPECIALTY HOSPITAL-DALLAS,1100 ALLIED DRIVE FL 4,-,PLANO,TX,75093,Collin,(972) 884-2407,6,For profit,11/30/1991,60
452023,KINDRED HOSPITAL HOUSTON MEDICAL CENTER,6441 MAIN ST,-,HOUSTON,TX,77030,Harris,(713) 790-0500,6,For profit,02/01/1992,110
452028,KINDRED HOSPITAL-TARRANT COUNTY,1000 N COOPER ST,-,ARLINGTON,TX,76011,Tarrant,(817) 543-0200,6,For profit,07/01/1993,80
452029,CONTINUECARE HOSPITAL AT HENDRICK MEDICAL CENTER,1900 PINE ST 7TH FLOOR,-,ABILENE,TX,79601,Taylor,(325) 670-6251,6,Non-profit,09/01/1993,46
452032,CLEAR LAKE-AMG SPECIALTY HOSPITAL,709 MEDICAL CENTER BLVD,-,WEBSTER,TX,77598,Harris,(713) 551-5300,6,For profit,01/01/1994,148
452034,CORNERSTONE SPECIALTY HOSPITALS ROUND ROCK,4207 BURNET RD,-,AUSTIN,TX,78756,Travis,(512) 706-1900,6,For profit,03/01/1994,54
452038,TEXAS NEURO REHABILITATION CENTER,1106 W DITTMAR,-,AUSTIN,TX,78745,Travis,(512) 444-4835,6,For profit,07/01/1994,47
452039,KINDRED HOSPITAL HOUSTON NW,11297 FALLBROOK,-,HOUSTON,TX,77065,Harris,(281) 897-8114,6,For profit,06/01/1994,158
452041,CARRUS SPECIALTY HOSPITAL,1810 WEST HIGHWAY 82,-,SHERMAN,TX,75092,Grayson,(903) 416-4441,6,For profit,07/01/1994,33
452044,LIFECARE HOSPITALS OF NORTH TEXAS,2329 PARKER ROAD,-,CARROLLTON,TX,75010,Denton,(469) 241-2100,6,For profit,09/16/1994,206
452046,HOUSTON MEDICAL CENTER-AMG SPECIALTY HOSPITAL,"1300 BINZ ST, 3RD FLOOR",-,HOUSTON,TX,77047,Harris,(713) 285-1000,6,For profit,01/01/1995,65
452059,PAM SPECIALTY HOSPITAL OF SAN ANTONIO MEDICAL CEN,8902 FLOYD CURL DR.,-,SAN ANTONIO,TX,78240,Bexar,(210) 690-7000,6,For profit,09/01/1998,62
452060,TEXAS SPECIALTY HOSPITAL,1540 RESEARCH ST,-,AMARILLO,TX,79124,Potter,(806) 351-1600,6,For profit,08/01/1998,37
452061,POST ACUTE MEDICAL SPECIALTY HOSPITAL OF TEXARKANA,2400 ST MICHAEL DRIVE 2ND FLOOR,-,TEXARKANA,TX,75503,Bowie,(903) 614-7600,6,For profit,02/01/1999,49
452062,POST ACUTE MEDICAL AT LULING LLC,200 MEMORIAL DRIVE,-,LULING,TX,78648,CALDWELL,(803) 875-8400,6,For profit,09/01/1998,34
452068,SAGE SPECIALTY HOSPITAL OF WICHITA FALLS,1103 GRACE STREET,-,WICHITA FALLS,TX,76301,Wichita,(940) 720-6633,6,For profit,04/29/1998,31
452073,KINDRED HOSPITAL- SAN ANTONIO CENTRAL,111 DALLAS STREET 4TH FLOOR,-,SAN ANTONIO,TX,78205,Bexar,(210) 297-7182,6,For profit,09/27/2000,44
452075,KINDRED HOSPITAL CLEAR LAKE,350 BLOSSOM ST,-,WEBSTER,TX,77598,Harris,(281) 316-7800,6,For profit,09/01/2000,147
452079,KINDRED HOSPTIAL EL PASO,1740 CURIE DRIVE,-,EL PASO,TX,79902,El Paso,(915) 351-9044,6,For profit,02/28/2002,72
452080,KINDRED HOSPITAL SUGAR LAND,1550 FIRST COLONY BOULEVARD,-,SUGAR LAND,TX,77479,Fort Bend,(281) 275-6000,6,For profit,03/01/2003,171
452083,MID-JEFFERSON EXTENDED CARE HOSPITAL,860 8TH ST,-,BEAUMONT,TX,77701,Jefferson,(409) 726-8700,6,For profit,10/01/2003,48
452086,POST ACUTE MEDICAL SPECIALTY HOSPITAL CORPUS CH,600 ELIZABETH STREET 3RD FL,-,CORPUS CHRISTI,TX,78404,Nueces,(361) 881-3223,6,For profit,04/01/2004,41
452090,PAM SPECIALTY HOSPITAL OF SAN ANTONIO,5418 N LOOP 1604 W,-,SAN ANTONIO,TX,78249,Bexar,(210) 921-3550,6,For profit,11/20/2003,26
452091,LONGVIEW CONTINUECARE HOSPITAL,"700 E MARSHALL AVE, 1ST FLOOR-WEST WING",-,LONGVIEW,TX,75601,Gregg,(903) 315-1100,6,Non-profit,06/02/2004,51
452094,PAM SPECIALTY HOSPITAL OF VICTORIA NORTH,102 MEDICAL DRIVE,-,VICTORIA,TX,77904,Victoria,(361) 576-6200,6,For profit,09/01/2005,42
452095,SOLARA SPECIALTY HOSPITAL MCALLEN,301 WEST EXPRESSWAY 83-8TH FLOOR,-,MC ALLEN,TX,78503,Hidalgo,(956) 632-4880,6,For profit,10/01/2005,53
452100,MESQUITE SPECIALTY HOSPITAL,1024 N GALLOWAY AVENUE,-,MESQUITE,TX,75149,Dallas,(972) 216-2300,6,For profit,06/01/2007,40
452101,SOLARA SPECIALTY HOSPITALS HARLINGEN,508 VICTORIA LANE,-,HARLINGEN,TX,78550,Cameron,(682) 831-9670,6,For profit,08/01/2007,82
452102,COVENANT SPECIALTY HOSPITAL,3815 20TH STREET,-,LUBBOCK,TX,79410,Lubbock,(806) 725-9200,6,For profit,10/01/2007,56
452105,BAYLOR SCOTT & WHITE CONTINUING CARE HOSPITAL,546 N KEGLEY ROAD,-,TEMPLE,TX,76502,Bell,(254) 215-0900,6,Non-profit,01/01/2008,50
452106,WARM SPRINGS SPECIALTY HOSPITAL OF NEW BRAUNFELS,1445 HANZ DRIVE,-,NEW BRAUNFELS,TX,78130,Comal,(830) 627-7600,6,For profit,05/01/2008,32
452107,CORNERSTONE HOSPITAL CONROE,1500 GRAND LAKE DRIVE,-,CONROE,TX,77304,Montgomery,(936) 523-1800,6,For profit,11/13/2007,41
452108,KINDRED HOSPITAL DALLAS CENTRAL,8050 MEADOWS ROAD,-,DALLAS,TX,75231,Dallas,(469) 232-6500,6,For profit,07/01/2008,60
452114,ATRIUM MEDICAL CENTER,"11929 W AIRPORT BLVD, SUITE 110",-,STAFFORD,TX,77477,Fort Bend,(281) 207-8200,6,Physician,08/30/2007,68
452118,HOUSTON METHODIST CONTINUING CARE HOSPITAL,701 S FRY ROAD,-,KATY,TX,77450,Harris,(281) 599-5700,6,Non-profit,08/01/2014,102
452121,CONTINUECARE HOSPITAL AT MEDICAL CENTER ODESSA,"500 WEST 4TH STREET , 4TH FLOOR",-,ODESSA,TX,79761,Ector,(972) 943-6488,6,Non-profit,02/01/2016,25
462004,SALT LAKE SPECIALTY HOSPITAL,4252 SOUTH BIRKHILL BOULEVARD,-,MURRAY,UT,84107,Salt Lake,(385) 425-0050,8,For profit,02/01/2003,41
462005,CENTRAL UTAH REHABILITATION HOSPITAL,306 WEST RIVER BEND LANE,-,PROVO,UT,84604,Utah,(801) 226-8880,8,For profit,07/01/2007,40
